county,rate,lower95cl,upper95cl,visits,year
Costilla,0,0,0,0,2022
Denver,7.114236027,4.889333524,9.339138529,42,2011
Denver,6.793702395,4.621311131,8.966093659,40,2012
Denver,2.945863431,1.745371699,4.455435315,19,2013
Denver,3.556912499,2.026541446,5.087283552,23,2014
Denver,3.843781154,2.262272214,5.425290095,25,2015
Denver,6.182937234,4.249674456,8.116200012,43,2016
Denver,3.315020838,1.923657396,4.70638428,24,2017
Denver,5.805259516,4.005964854,7.604554177,43,2018
Denver,4.537265998,2.950957131,6.123574865,34,2019
Denver,4.422048886,2.882421118,5.961676654,34,2020
Denver,3.84747781,2.377614452,5.317341167,28,2021
Denver,6.475106589,4.547324141,8.402889037,47,2022
Dolores,0,0,0,0,2011
Dolores,0,0,0,0,2012
Dolores,0,0,0,0,2013
Dolores,0,0,0,0,2014
Dolores,0,0,0,0,2015
Dolores,0,0,0,0,2016
Dolores,0,0,0,0,2017
Dolores,0,0,0,0,2018
Dolores,0,0,0,0,2019
Dolores,0,0,0,0,2020
Dolores,0,0,0,0,2021
Dolores,0,0,0,0,2022
El Paso,6.886914988,4.763948689,9.009881287,42,2011
El Paso,5.113938316,3.334560142,6.89331649,33,2012
El Paso,4.197016233,2.591243099,5.802789367,27,2013
El Paso,2.881581977,1.71687949,4.342945656,19,2014
El Paso,5.017244008,3.235931166,6.798556851,32,2015
El Paso,5.508012786,3.715007302,7.30101827,38,2016
El Paso,4.592364773,2.973082723,6.211646824,32,2017
El Paso,6.515871469,4.621601945,8.410140994,48,2018
El Paso,5.298876006,3.561525262,7.03622675,38,2019
El Paso,3.300472399,1.999644505,4.601300293,26,2020
El Paso,4.545599271,3.022250176,6.068948366,36,2021
El Paso,6.100918857,4.233779337,7.968058377,43,2022
Hinsdale,0,0,0,0,2011
Hinsdale,0,0,0,0,2012
Hinsdale,0,0,0,0,2013
Hinsdale,0,0,0,0,2014
Hinsdale,0,0,0,0,2015
Hinsdale,0,0,0,0,2016
Hinsdale,0,0,0,0,2017
Hinsdale,0,0,0,0,2018
Hinsdale,0,0,0,0,2019
Hinsdale,0,0,0,0,2020
Hinsdale,0,0,0,0,2021
Hinsdale,0,0,0,0,2022
Huerfano,0,0,0,0,2011
Jackson,0,0,0,0,2011
Jackson,0,0,0,0,2012
Jackson,0,0,0,0,2013
Jackson,0,0,0,0,2014
Jackson,0,0,0,0,2015
Jackson,0,0,0,0,2016
Jackson,0,0,0,0,2017
Jackson,0,0,0,0,2018
Jackson,0,0,0,0,2019
Jackson,,,,,2020
Jackson,0,0,0,0,2021
Jackson,0,0,0,0,2022
Jefferson,4.97788259,2.985783398,6.969981782,25,2011
Jefferson,6.326530984,4.142006975,8.511054993,33,2012
Jefferson,4.407675837,2.599062051,6.216289623,24,2013
Jefferson,3.972672594,2.282057566,5.663287622,22,2014
Jefferson,4.50851301,2.700146872,6.316879148,25,2015
Jefferson,7.143788295,4.954733665,9.332842924,43,2016
Jefferson,4.069384844,2.386177905,5.752591784,24,2017
Jefferson,6.330890262,4.2197184,8.442062123,37,2018
Jefferson,4.424847786,2.6267071,6.222988472,24,2019
Jefferson,4.426880441,2.706778975,6.146981906,27,2020
Jefferson,5.69890036,3.766136366,7.631664354,36,2021
Jefferson,4.776363191,2.964999831,6.58772655,28,2022
Larimer,7.207984188,4.005435838,10.41053254,20,2011
Larimer,7.92713024,4.74599832,11.10826216,25,2012
Larimer,7.119148852,4.029216599,10.2090811,21,2013
Larimer,5.486613348,3.155374482,8.452126509,17,2014
Larimer,10.62776834,7.061020719,14.19451596,36,2015
Larimer,12.45829327,8.577961707,16.33862484,42,2016
Larimer,5.465654088,3.203107662,8.322855478,18,2017
Larimer,11.29910792,7.77764696,14.82056887,42,2018
Larimer,9.102263382,5.861093422,12.34343334,32,2019
Larimer,3.187627957,1.659137579,5.206841112,13,2020
Larimer,7.497914927,4.773384925,10.22244493,31,2021
Larimer,12.2629216,8.549910447,15.97593274,45,2022
Mesa,8.023094642,4.214855398,13.03664635,13,2011
Mesa,8.880506672,4.52826227,14.6739084,12,2012
Mesa,14.00038441,7.874362591,20.12640623,21,2013
Mesa,9.669590641,5.018259418,15.82090355,13,2014
Mesa,13.17748783,7.816517267,19.91563319,19,2015
Mesa,18.67837966,11.6851784,25.67158092,29,2016
Mesa,9.078821813,4.867207955,14.58148699,14,2017
Mesa,21.17041104,13.41877917,28.92204291,30,2018
Mesa,12.0079548,7.027493792,18.30077635,18,2019
Mesa,9.080610296,4.843307943,14.62748301,14,2020
Mesa,12.02112391,7.1171239,18.18945994,19,2021
Mesa,9.773429162,5.492859009,15.26700501,17,2022
Mineral,0,0,0,0,2011
Mineral,0,0,0,0,2012
Mineral,0,0,0,0,2013
Mineral,0,0,0,0,2014
Mineral,0,0,0,0,2015
Mineral,0,0,0,0,2016
Mineral,0,0,0,0,2017
Mineral,0,0,0,0,2018
Mineral,0,0,0,0,2019
Mineral,0,0,0,0,2020
Mineral,0,0,0,0,2021
Mineral,0,0,0,0,2022
Pueblo,15.08104408,8.769962414,21.39212575,23,2011
Pueblo,16.26618219,9.894995807,22.63736858,26,2012
Pueblo,17.42787528,10.76371524,24.09203532,27,2013
Pueblo,17.28319863,10.48134928,24.08504799,26,2014
Pueblo,18.10678773,11.33587975,24.8776957,29,2015
Pueblo,23.11192526,15.45846158,30.76538894,37,2016
Pueblo,18.30050449,11.30734833,25.29366065,28,2017
Pueblo,21.72558057,14.31359779,29.13756334,36,2018
Pueblo,13.20794008,7.513542339,18.90233783,22,2019
Pueblo,17.79896059,11.00153278,24.5963884,28,2020
Pueblo,15.89090956,9.541646947,22.24017218,26,2021
Pueblo,17.42469654,10.81110073,24.03829235,28,2022
San Juan,0,0,0,0,2011
San Juan,0,0,0,0,2012
San Juan,0,0,0,0,2013
San Juan,0,0,0,0,2014
San Juan,0,0,0,0,2015
San Juan,0,0,0,0,2016
San Juan,0,0,0,0,2017
San Juan,0,0,0,0,2018
San Juan,0,0,0,0,2019
San Juan,0,0,0,0,2020
San Juan,0,0,0,0,2021
San Juan,0,0,0,0,2022
Weld,10.31400216,6.321321836,14.30668249,26,2011
Weld,12.73755349,8.251797664,17.22330931,32,2012
Weld,8.638221832,5.067801751,12.20864191,23,2013
Weld,5.57026519,3.087269814,8.773867729,15,2014
Weld,10.20985684,6.447420903,13.97229278,29,2015
Weld,7.080657822,4.025257583,10.13605806,21,2016
Weld,10.76108665,7.066859021,14.45531428,33,2017
Weld,11.7683605,7.953866806,15.58285419,37,2018
Weld,6.902525645,3.988215419,9.816835871,22,2019
Weld,7.820345915,4.734281705,10.90641012,25,2020
Weld,8.593717566,5.495372851,11.69206228,30,2021
Weld,8.915140624,5.751528821,12.07875243,31,2022
